feature,importance,cumulative_importance
satisfaction_score,0.2011075664670276,0.2011075664670276
total_spent,0.19349536735986453,0.39460293382689215
support_tickets,0.0732746788458197,0.4678776126727119
signup_month,0.02873061079310811,0.49660822346582
pages_per_session,0.027819787267251272,0.5244280107330713
last_purchase_month,0.027727847594625796,0.5521558583276971
avg_session_time,0.027527957826573787,0.5796838161542709
marketing_spend_per_user,0.02732541598087542,0.6070092321351463
avg_order_value,0.027195720131930706,0.6342049522670771
lifetime_value,0.026934193422906327,0.6611391456899834
customer_tenure_days,0.02548061647134876,0.6866197621613322
recency_days,0.02489347497501635,0.7115132371363486
email_open_rate,0.02436828124202356,0.7358815183783722
email_click_rate,0.02307690791742865,0.7589584262958009
age,0.022260276066261783,0.7812187023620627
city,0.02165100028690473,0.8028697026489674
last_purchase_dayofweek,0.02054472772702507,0.8234144303759925
total_visits,0.018859154980904905,0.8422735853568974
last_3_month_purchase_freq,0.018434092285631917,0.8607076776425293
payment_method,0.01682679109806206,0.8775344687405914
nps_score,0.01612795344837511,0.8936624221889665
acquisition_channel,0.015675353982099533,0.909337776171066
country,0.01518463466496904,0.924522410836035
delivery_delay_days,0.013166639066274593,0.9376890499023096
device_type,0.011557388699277974,0.9492464386015876
signup_year,0.00939741667725252,0.9586438552788401
gender,0.009179701482587921,0.9678235567614281
coupon_code,0.009142134316606603,0.9769656910780347
last_purchase_year,0.007815407291525807,0.9847810983695605
subscription_type,0.006566159933351691,0.9913472583029123
is_premium_user,0.0043706507688917465,0.995717909071804
discount_used,0.004282090928196137,1.0000000000000002
refund_requested,0.0,1.0000000000000002
